Nothing, future_time:2, local_time:2
Something, lowest_idx:4, dst_x:0, dst_y:0, local_time:2, prev_local_time:2, flag:false, prev_lowest_idx:18446744073709551615, lowest_idx:4, prev_time:18446744073709551615, future_time:2
Something, lowest_idx:4, dst_x:0, dst_y:1, local_time:2, prev_local_time:2, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:2, future_time:2
Something, lowest_idx:4, dst_x:0, dst_y:2, local_time:2, prev_local_time:2, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:2, future_time:2
Something, lowest_idx:4, dst_x:1, dst_y:0, local_time:2, prev_local_time:2, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:2, future_time:2
Something, lowest_idx:4, dst_x:1, dst_y:1, local_time:2, prev_local_time:2, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:2, future_time:2
Something, lowest_idx:4, dst_x:1, dst_y:2, local_time:2, prev_local_time:2, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:2, future_time:2
Something, lowest_idx:4, dst_x:1, dst_y:3, local_time:2, prev_local_time:2, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:2, future_time:2
Something, lowest_idx:4, dst_x:2, dst_y:0, local_time:2, prev_local_time:2, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:2, future_time:2
Something, lowest_idx:4, dst_x:2, dst_y:1, local_time:2, prev_local_time:2, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:2, future_time:2
Something, lowest_idx:4, dst_x:2, dst_y:2, local_time:2, prev_local_time:2, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:2, future_time:2
Something, lowest_idx:4, dst_x:2, dst_y:3, local_time:2, prev_local_time:2, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:2, future_time:2
Something, lowest_idx:4, dst_x:3, dst_y:0, local_time:2, prev_local_time:2, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:2, future_time:2
Something, lowest_idx:4, dst_x:3, dst_y:1, local_time:2, prev_local_time:2, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:2, future_time:2
Something, lowest_idx:4, dst_x:3, dst_y:2, local_time:2, prev_local_time:2, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:2, future_time:2
Something, lowest_idx:4, dst_x:3, dst_y:3, local_time:2, prev_local_time:2, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:2, future_time:2
Nothing, future_time:3, local_time:3
Something, lowest_idx:1, dst_x:0, dst_y:0, local_time:3, prev_local_time:3, flag:false, prev_lowest_idx:4, lowest_idx:1, prev_time:18446744073709551615, future_time:3
Something, lowest_idx:1, dst_x:0, dst_y:1, local_time:3, prev_local_time:3, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:3, future_time:3
Something, lowest_idx:1, dst_x:0, dst_y:2, local_time:3, prev_local_time:3, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:3, future_time:3
Something, lowest_idx:1, dst_x:0, dst_y:3, local_time:3, prev_local_time:3, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:3, future_time:3
Something, lowest_idx:3, dst_x:0, dst_y:3, local_time:3, prev_local_time:3, flag:false, prev_lowest_idx:1, lowest_idx:3, prev_time:3, future_time:3
Something, lowest_idx:4, dst_x:0, dst_y:0, local_time:3, prev_local_time:3, flag:false, prev_lowest_idx:3, lowest_idx:4, prev_time:3, future_time:3
Something, lowest_idx:4, dst_x:0, dst_y:1, local_time:3, prev_local_time:3, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:3, future_time:3
Something, lowest_idx:4, dst_x:0, dst_y:2, local_time:3, prev_local_time:3, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:3, future_time:3
Something, lowest_idx:4, dst_x:1, dst_y:0, local_time:3, prev_local_time:3, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:3, future_time:3
Something, lowest_idx:4, dst_x:1, dst_y:1, local_time:3, prev_local_time:3, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:3, future_time:3
Something, lowest_idx:4, dst_x:1, dst_y:2, local_time:3, prev_local_time:3, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:3, future_time:3
Something, lowest_idx:4, dst_x:1, dst_y:3, local_time:3, prev_local_time:3, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:3, future_time:3
Something, lowest_idx:4, dst_x:2, dst_y:0, local_time:3, prev_local_time:3, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:3, future_time:3
Something, lowest_idx:4, dst_x:2, dst_y:1, local_time:3, prev_local_time:3, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:3, future_time:3
Something, lowest_idx:4, dst_x:2, dst_y:2, local_time:3, prev_local_time:3, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:3, future_time:3
Something, lowest_idx:4, dst_x:2, dst_y:3, local_time:3, prev_local_time:3, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:3, future_time:3
Something, lowest_idx:4, dst_x:3, dst_y:0, local_time:3, prev_local_time:3, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:3, future_time:3
Something, lowest_idx:4, dst_x:3, dst_y:1, local_time:3, prev_local_time:3, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:3, future_time:3
Something, lowest_idx:4, dst_x:3, dst_y:2, local_time:3, prev_local_time:3, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:3, future_time:3
Something, lowest_idx:4, dst_x:3, dst_y:3, local_time:3, prev_local_time:3, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:3, future_time:3
Nothing, future_time:4, local_time:4
Something, lowest_idx:1, dst_x:0, dst_y:0, local_time:4, prev_local_time:4, flag:false, prev_lowest_idx:4, lowest_idx:1, prev_time:18446744073709551615, future_time:4
Something, lowest_idx:1, dst_x:0, dst_y:1, local_time:4, prev_local_time:4, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:4, future_time:4
Something, lowest_idx:1, dst_x:0, dst_y:2, local_time:4, prev_local_time:4, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:4, future_time:4
Something, lowest_idx:1, dst_x:0, dst_y:3, local_time:4, prev_local_time:4, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:4, future_time:4
Something, lowest_idx:1, dst_x:0, dst_y:0, local_time:4, prev_local_time:4, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:4, future_time:4
Something, lowest_idx:1, dst_x:0, dst_y:1, local_time:4, prev_local_time:4, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:4, future_time:4
Something, lowest_idx:1, dst_x:0, dst_y:2, local_time:4, prev_local_time:4, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:4, future_time:4
Something, lowest_idx:1, dst_x:0, dst_y:3, local_time:4, prev_local_time:4, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:4, future_time:4
Something, lowest_idx:3, dst_x:0, dst_y:3, local_time:4, prev_local_time:4, flag:false, prev_lowest_idx:1, lowest_idx:3, prev_time:4, future_time:4
Something, lowest_idx:3, dst_x:0, dst_y:3, local_time:4, prev_local_time:4, flag:false, prev_lowest_idx:3, lowest_idx:3, prev_time:4, future_time:4
